longitude	latitude	speed
-122.692885	45.523093	6.8
-122.692653	45.523082	3.4
-122.691718	45.523038	1.042857142857143
-122.691102	45.523008	9.4
-122.690492	45.522975	9.6
-122.690002	45.522947	7.4
-122.689808	45.522935	3
-122.688817	45.522895	0.8555555555555555
-122.688208	45.522867	9.4
-122.687622	45.522838	9
-122.687048	45.522827	9
-122.686458	45.52284	9
-122.68585	45.522855	9.4
-122.685245	45.522868	9.4
-122.684738	45.522878	7.6
-122.684487	45.522892	3.8
-122.683382	45.522927	1.45
-122.682828	45.52294	8.4
-122.68226	45.522957	8.8
-122.681735	45.522958	8.2
-122.681415	45.522952	4.6
-122.680238	45.522968	2.657142857142857
-122.67962	45.522977	9.4
-122.679033	45.522987	9
-122.678498	45.52297	8.2
-122.678037	45.522977	7.2
-122.677788	45.522982	3.6
-122.677703	45.52298	1.4
-122.677305	45.522983	6.2
-122.676905	45.522992	6.2
-122.676707	45.522993	2.8
-122.676067	45.523038	1.7
-122.67579	45.523047	4
-122.675575	45.52304	0.45
-122.675063	45.523035	8
-122.67446	45.523047	9.4
-122.673823	45.523088	9.8
-122.673185	45.523102	10
-122.672532	45.523107	10
-122.671162	45.52307	10.6
-122.670357	45.523063	12.6
-122.669462	45.523047	13.8
-122.66852	45.523027	14.6
-122.667595	45.523005	14.4
-122.666653	45.522983	14.6
-122.66572	45.522965	14.4
-122.664803	45.522948	14.2
-122.663935	45.522948	13.4
-122.663107	45.522935	12.6
-122.662382	45.522915	11.2
-122.661737	45.522913	9.8
-122.661142	45.522917	9
-122.660928	45.522917	3
-122.660788	45.522915	0.34285714285714286
-122.660313	45.52291	7.6
-122.659953	45.522903	5.2
-122.658033	45.5229	1.5638297872340425
-122.657925	45.522897	2
-122.657522	45.522903	1.1
-122.656872	45.522903	10.2
-122.656148	45.522902	11.2
-122.655502	45.522898	10
-122.654952	45.522895	8.4
-122.654457	45.522875	7.6
-122.654022	45.522862	6.4
-122.653852	45.522852	2
-122.653097	45.52286	1.087719298245614
-122.652497	45.522858	9.4
-122.651867	45.522852	9.8
-122.651207	45.522858	10.2
-122.650525	45.522867	10.6
-122.649863	45.522848	10
-122.649385	45.522833	7
-122.649232	45.52283	2
-122.648727	45.522847	2.8666666666666667
-122.648073	45.522848	10.4
-122.647382	45.522847	10.6
-122.646683	45.52285	10.8
-122.646062	45.522832	9.2
-122.645727	45.522823	4.8
-122.645122	45.52283	0.96
-122.644727	45.522853	6.2
-122.644353	45.522878	5.8
-122.643852	45.522857	8
-122.643243	45.522847	9.6
-122.642535	45.522843	11
-122.641885	45.522842	9.8
-122.641433	45.52283	6.6
-122.641228	45.522815	2.8
-122.640503	45.522837	2.44
-122.639858	45.522835	10
-122.639168	45.522833	10.6
-122.638495	45.522843	10.4
-122.63792	45.52283	8.8
-122.637388	45.522823	8
-122.637015	45.522823	5.4
-122.635697	45.522833	3.566666666666667
-122.634925	45.522833	11.8
-122.63416	45.522833	11.8
-122.633402	45.522833	11.8
-122.632665	45.522833	11.2
-122.632107	45.522815	8.2
-122.631873	45.522805	3
-122.63088	45.522843	1.5272727272727273
-122.630133	45.522848	11.6
-122.62938	45.52285	11.6
-122.628613	45.522847	12
-122.62781	45.522857	12.4
-122.626967	45.522918	13.2
-122.626147	45.52301	12.8
-122.625357	45.523177	12.8
-122.624635	45.523348	11.6
-122.624048	45.523455	8.8
-122.623657	45.523493	5.8
-122.623475	45.523502	2.4
-122.623452	45.523502	0.25
-122.623452	45.523502	0
-122.623452	45.523502	0
-122.623435	45.523502	1
-122.623318	45.52349	1.8
-122.62325	45.523483	1
-122.623243	45.523483	0
-122.622282	45.523468	1.0649350649350648
-122.621543	45.523358	11.8
-122.620873	45.523198	10.6
-122.620397	45.5231	7
-122.620243	45.523062	2
-122.619977	45.522973	1.8666666666666667
-122.619452	45.522788	9.4
-122.618767	45.52272	10.8
-122.61809	45.522838	10.6
-122.61762	45.52298	7.2
-122.617402	45.523025	1.2
-122.616897	45.523077	8.6
-122.616218	45.523083	10.4
