longitude	latitude	speed
-122.801275	45.490812	1.0869565217391304
-122.801922	45.490383	1.0869565217391304
-122.802197	45.490715	7.5
-122.802398	45.491113	9.8
-122.80266	45.49164	12.4
-122.802838	45.492168	11.8
-122.802847	45.49267	11
-122.802877	45.493143	10.2
-122.802895	45.493502	7.2
-122.802895	45.493573	1.2
-122.802925	45.493682	3.5
-122.803362	45.493758	6.666666666666667
-122.804062	45.493748	11.2
-122.804825	45.493718	11.6
-122.805512	45.493725	10.2
-122.805903	45.49374	5
-122.806843	45.493573	3.12
-122.807013	45.493477	2.4
-122.807015	45.493477	0
-122.807015	45.493477	0
-122.807015	45.493477	0.3333333333333333
-122.80705	45.493455	2.5
-122.807295	45.49345	4.6
-122.80796	45.493692	10.166666666666666
-122.808728	45.493863	12.6
-122.80945	45.494027	11.2
-122.809883	45.494135	6
-122.810002	45.494188	0.3333333333333333
-122.809677	45.494885	8.9
-122.809348	45.495442	13.4
-122.809008	45.496027	13.8
-122.808672	45.496593	13.4
-122.808348	45.497147	13
-122.808038	45.497673	12.4
-122.807757	45.49813	10.4
-122.807598	45.498377	4.8
-122.807502	45.498545	1.5333333333333334
-122.807425	45.498692	2.4
-122.807062	45.499338	4.25
-122.806788	45.499807	11.2
-122.806523	45.500255	10.4
-122.806333	45.50057	6.4
-122.806297	45.500622	0.08
-122.80627	45.500663	0.8
-122.806152	45.50086	4.6
-122.805947	45.501158	7.2
-122.805707	45.501493	8.2
-122.805387	45.501893	12.2
-122.804855	45.502223	8.8
-122.804317	45.50241	9.4
-122.80406	45.502505	4.6
-122.804002	45.50253	0.3
-122.803732	45.502632	4.6
-122.803228	45.502835	9
-122.802627	45.50309	10.6
-122.801983	45.503385	12
-122.801242	45.503695	13.2
-122.8004	45.504038	15
-122.799563	45.50438	15
-122.79874	45.504715	14.8
-122.797943	45.50508	14.6
-122.79725	45.505547	14.8
-122.796728	45.506117	15
-122.796413	45.506727	14.4
-122.796203	45.50724	11.8
-122.796088	45.507495	6
-122.795847	45.508185	3.85
-122.795622	45.50876	13.2
-122.795415	45.509288	12
-122.795237	45.510465	13.1
-122.795265	45.51104	12.6
-122.795295	45.511487	9.8
-122.795288	45.51169	4.6
-122.795253	45.511882	4.2
-122.7951	45.51226	8.6
-122.794888	45.512613	8.4
-122.794793	45.512725	3
-122.794532	45.513105	0.6714285714285714
-122.794193	45.513558	11.2
-122.79375	45.514127	14.4
-122.793367	45.514615	12.2
-122.793185	45.514848	5.8
-122.793165	45.514878	0.8
-122.793165	45.514878	0
-122.79314	45.514915	1
-122.792915	45.515197	7.2
-122.792542	45.515642	11.4
-122.792213	45.516048	10.2
-122.791858	45.516185	6.6
-122.791227	45.516022	10.4
-122.790422	45.515717	14.2
-122.789617	45.515253	16
-122.789052	45.51474	14.2
