longitude	latitude	speed
-122.801425	45.49062	4.6
-122.801615	45.490447	4.6
-122.801727	45.490372	2.2
-122.80194	45.49039	3.4
-122.802117	45.490613	6
-122.802252	45.490902	7
-122.802447	45.491237	8.2
-122.802635	45.491615	8.8
-122.80279	45.491997	8.6
-122.802832	45.492398	9
-122.80283	45.492807	8.8
-122.80285	45.493187	8.2
-122.802887	45.493513	6.8
-122.802892	45.493608	1.8
-122.803008	45.493753	3.3333333333333335
-122.803505	45.493763	10
-122.804127	45.493748	9.8
-122.804768	45.493723	9.8
-122.80539	45.49372	9.4
-122.805822	45.493737	5.8
-122.806737	45.493607	2.1142857142857143
-122.807008	45.49347	4.8
-122.807195	45.493413	2.6666666666666665
-122.807545	45.493568	8.25
-122.808097	45.493723	9.2
-122.808688	45.49386	9.6
-122.809248	45.493988	9
-122.809687	45.494095	6.6
-122.809825	45.494133	1.6
-122.809928	45.494162	1.8
-122.810045	45.494233	2.1666666666666665
-122.809693	45.494887	9
-122.809445	45.4953	9.8
-122.808947	45.496142	9.9
-122.808698	45.496558	9.8
-122.80849	45.496888	7.2
-122.808435	45.496965	1.2
-122.808113	45.497512	3.5
-122.80787	45.497927	10
-122.807597	45.49835	10.2
-122.80738	45.498745	9.2
-122.807165	45.49911	8.6
-122.806947	45.499488	9
-122.806703	45.499905	10
-122.80645	45.500345	10.4
-122.806207	45.50076	9.6
-122.806058	45.500995	4.8
-122.805995	45.501093	2.4
-122.805837	45.501317	6
-122.805603	45.501655	8.6
-122.805205	45.50205	10.8
-122.804615	45.502328	11.2
-122.803968	45.502568	11.4
-122.80329	45.50284	12.2
-122.802577	45.503138	13
-122.801838	45.503473	13.6
-122.801043	45.503797	14.4
-122.800242	45.504122	14.2
-122.79947	45.504432	13.8
-122.798707	45.504742	13.6
-122.797978	45.50508	13.4
-122.797335	45.505493	13.6
-122.796822	45.506008	13.8
-122.796478	45.506602	14
-122.79623	45.507217	14
-122.796012	45.507792	13.2
-122.795775	45.508382	13.6
-122.795535	45.508977	13.4
-122.795328	45.509572	13.4
-122.795235	45.510162	13.2
-122.795248	45.510765	13.2
-122.79529	45.51137	13.2
-122.795242	45.511945	12.6
-122.79506	45.51245	11.2
-122.794743	45.512888	11
-122.794003	45.513838	12
-122.7936	45.514352	12.8
-122.793215	45.514855	12.6
-122.792852	45.515328	11.8
-122.792463	45.51577	11.2
-122.79219	45.516097	7.2
-122.79212	45.516172	2
-122.791778	45.516195	6
-122.791207	45.516032	8.6
-122.79052	45.515773	12
-122.789985	45.515462	10.6
-122.789762	45.515303	4.8
-122.789058	45.514735	3.32
-122.788708	45.514253	12
-122.78835	45.513718	13
-122.78782	45.513223	13.6
-122.787125	45.51284	13.6
-122.78635	45.512602	13
-122.785528	45.512513	12.8
-122.784685	45.512492	13
-122.783832	45.512468	13.4
-122.782982	45.512443	13
-122.782132	45.512423	13.2
-122.781315	45.512402	12.6
-122.780475	45.512343	13.2
-122.779657	45.512155	13.2
-122.778918	45.511848	13.4
-122.778347	45.511472	12
-122.778113	45.511152	7.8
-122.778165	45.510915	5
-122.77842	45.510802	4.6
-122.77874	45.510753	5
-122.779047	45.510677	5
-122.779343	45.510567	5.2
-122.779645	45.510418	5.6
-122.77994	45.510247	5.8
-122.780237	45.510078	5.8
-122.780553	45.509943	5.6
-122.780892	45.509863	5.6
-122.781245	45.509867	5.2
-122.781565	45.509962	5.2
-122.781695	45.510033	2.4
-122.78236	45.510265	1.3111111111111111
-122.782665	45.51038	5.4
-122.78299	45.5105	5.6
-122.783328	45.51062	5.8
-122.783675	45.51075	6
-122.784082	45.510922	7.4
-122.784552	45.511153	9
-122.784915	45.511493	9.4
-122.784863	45.511918	9.6
-122.78458	45.512223	8
-122.784495	45.51243	4.6
-122.784187	45.512567	5.6
-122.783625	45.512542	9
-122.782948	45.512523	10.8
-122.782188	45.5125	11.8
-122.781397	45.512472	12.2
-122.78058	45.512413	12.8
-122.77979	45.512248	12.6
-122.779073	45.511977	12.6
-122.77845	45.511635	12
-122.778033	45.511285	9.8
-122.777835	45.511057	5.8
-122.777797	45.511005	1
-122.777765	45.510967	0.4
-122.777498	45.510753	6.4
-122.776965	45.510595	9
-122.776433	45.510367	9.6
-122.77604	45.510165	7.4
-122.775783	45.510037	4.8
-122.775448	45.509867	6.6
-122.774957	45.509618	9.4
-122.774397	45.509362	10.4
-122.7738	45.509182	10
-122.773108	45.509085	11
-122.772348	45.509007	12
-122.771592	45.508925	11.8
-122.770985	45.508867	9.2
-122.770622	45.508848	5.6
-122.770418	45.509017	5
-122.770168	45.509193	5.6
-122.769843	45.509335	6
-122.769575	45.509585	7
-122.76952	45.509887	6.4
-122.769635	45.51004	3.6
-122.769942	45.510055	4.6
-122.770045	45.510043	1.2
-122.770268	45.510017	3.6
